"","reg","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"2","country","GSDP - CONSTANT PRICES (` in Crore) 2011-12","GSDP - CONSTANT PRICES (` in Crore) 2012-13","GSDP - CONSTANT PRICES (` in Crore) 2013-14","GSDP - CONSTANT PRICES (` in Crore) 2014-15","GSDP - CONSTANT PRICES (` in Crore) 2015-16","GSDP - CONSTANT PRICES (` in Crore) 2016-17","gsdp_con_(% Growth over previous year) 2012-13","gsdp_con_(% Growth over previous year) 2013-14","gsdp_con_(% Growth over previous year) 2014-15","gsdp_con_(% Growth over previous year) 2015-16","gsdp_con_(% Growth over previous year) 2016-17","GSDP - CURRENT PRICES (` in Crore) 2012-13","GSDP - CURRENT PRICES (` in Crore) 2013-14","GSDP - CURRENT PRICES (` in Crore) 2014-15","GSDP - CURRENT PRICES (` in Crore) 2015-16","GSDP - CURRENT PRICES (` in Crore) 2016-17","gsdp_cur_(% Growth over previous year) 2012-13","gsdp_cur_(% Growth over previous year) 2013-14","gsdp_cur_(% Growth over previous year) 2014-15","gsdp_cur_(% Growth over previous year) 2015-16","gsdp_cur_(% Growth over previous year) 2016-17","NSDP - CONSTANT PRICES (` in Crore) 2012-13","NSDP - CONSTANT PRICES (` in Crore) 2013-14","NSDP - CONSTANT PRICES (` in Crore) 2014-15","NSDP - CONSTANT PRICES (` in Crore) 2015-16","NSDP - CONSTANT PRICES (` in Crore) 2016-17","nsdp_con_(% Growth over previous year) 2012-13","nsdp_con_(% Growth over previous year) 2013-14","nsdp_con_(% Growth over previous year) 2014-15","nsdp_con_(% Growth over previous year) 2015-16","nsdp_con_(% Growth over previous year) 2016-17","NSDP - CURRENT PRICES (` in Crore) 2011-12","NSDP - CURRENT PRICES (` in Crore) 2012-13","NSDP - CURRENT PRICES (` in Crore) 2013-14","NSDP - CURRENT PRICES (` in Crore) 2014-15","NSDP - CURRENT PRICES (` in Crore) 2015-16","NSDP - CURRENT PRICES (` in Crore) 2016-17","nsdp_cur_(% Growth over previous year) 2012-13","nsdp_cur_(% Growth over previous year) 2013-14","nsdp_cur_(% Growth over previous year) 2014-15","nsdp_cur_(% Growth over previous year) 2015-16","nsdp_cur_(% Growth over previous year) 2016-17"
"4","east","3979","4156","4502","4839","4369","4369","4.45","8.32","7.5","6.75666666666667","6.75666666666667","4421","5159","5721","4820","4820","11.13","16.68","10.89","12.9","12.9","3557","3824","4214","3749.75","3749.75","4.5","7.52","10.2","7.40666666666667","7.40666666666667","3404","3793","4424","5025","4161.5","4161.5","11.44","16.64","13.56","13.88","13.88"
"5","south","379402","380629","407115","441741","490134","547021","0.32","6.96","8.51","10.96","11.61","411404","464272","526468","609934","699307","8.43","12.85","13.4","15.85","14.65","341335","360239","391373","434433","484930","0.39","5.54","8.64","11","11.62","339996","370196","413164","469909","545638","620974","8.88","11.61","13.73","16.12","13.81"
"6","ne","11063","11299","12348","13541","13963","12442.8","2.14","9.29","9.66","3.12","6.0525","12547","14602","16761","18784","14751.4","13.41","16.38","14.79","12.07","14.1625","10399","11235","12323","12693","11375.8","1.65","8.05","9.68","3","5.595","10229","11617","13398","15410","17229","13576.6","13.57","15.32","15.02","11.8","13.9275"
"7","ne","143175","147342","154525","166709","179595","158269.2","2.91","4.88","7.88","5.22333333333333","5.22333333333333","156864","177745","198098","224234","180023.2","9.56","13.31","11.45","13.19","11.8775","132518","138725","149313","160724","142126.8","2.45","4.68","7.63","4.92","4.92","129354","142039","160442","178479","201758","162414.4","9.81","12.96","11.24","11.3366666666667","11.3366666666667"
"8","east","247144","256851","269650","304766","326535","280989.2","3.93","4.98","13.02","7.14","7.2675","282368","317101","373920","413503","326807.2","14.25","12.3","17.92","10.59","13.765","236932","246915","279711","299814","258373.8","3.69","4.21","13.28","7.19","7.0925","228497","261327","292143","345571","382223","301952.2","14.37","11.79","18.29","10.61","13.765"
"9","north","18768","20265","21893","23920","26379","22245","7.98","8.04","9.26","10.28","8.89","21609","24787","27844","30304","24662.4","15.14","14.71","12.33","8.84","12.755","18285","19622","21456","23729","20004.4","8.01","7.31","9.35","10.59","8.815","16930","19507","22290","25061","27341","22225.8","15.23","14.26","12.43","9.1","12.755"
"10","central","158074","165937","182229","196023","209012","223932","4.97","9.82","7.57","7.45333333333333","7.45333333333333","177511","206690","234982","260776","290140","12.3","16.44","13.69","10.98","11.26","148719","163187","175414","184693","198922","4.53","9.73","7.49","7.25","7.25","142273","159431","185939","211016","233023","256346","12.06","16.63","13.49","14.06","14.06"
"11","west","3979","4156","4502","4839","4369","4369","4.45","8.32","7.5","6.75666666666667","6.75666666666667","4421","5159","5721","4820","4820","11.13","16.68","10.89","12.9","12.9","3557","3824","4214","3749.75","3749.75","4.5","7.52","10.2","7.40666666666667","7.40666666666667","3404","3793","4424","5025","4161.5","4161.5","11.44","16.64","13.56","13.88","13.88"
"12","west","3979","4156","4502","4839","4369","4369","4.45","8.32","7.5","6.75666666666667","6.75666666666667","4421","5159","5721","4820","4820","11.13","16.68","10.89","12.9","12.9","3557","3824","4214","3749.75","3749.75","4.5","7.52","10.2","7.40666666666667","7.40666666666667","3404","3793","4424","5025","4161.5","4161.5","11.44","16.64","13.56","13.88","13.88"
